first_name;last_name;date_of_birth;year_of_birth;street_address;email;gender;region;campus;entry_level;year_of_entry;year_of_exit;study_lenght;level_of_exit;still_student;level;contratPro;speciality;compta_paymentType;compta_paid;compta_paymentDue;compta_relance
Sunny;Jessel;02/10/1979;1979;40 Nova Crossing;sunnyjessel@supinfo.com;Male;Normandie;Distanciel;B.ENG 1;2001;2003;2;B.ENG 2;false;;false;;Comptant;true;0;
Kesley;Benedek;13/03/1981;1981;9 Packers Parkway;kesleybenedek@supinfo.com;Male;Centre-Val de Loire;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;true;Intelligence Artificielle;OPCA;true;0;
Helen-elizabeth;Clarycott;27/10/1990;1990;9 Forest Dale Way;helen-elizabethclarycott@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2006;2011;5;M.ENG 2;false;;false;;Comptant;true;0;
Nelson;Fairest;11/06/1982;1982;8410 Del Mar Place;nelsonfairest@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2005;2010;5;M.ENG 2;false;;false;;Comptant;true;0;
Petronilla;McKeevers;18/01/1984;1984;78802 Riverside Drive;petronillamckeevers@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2011;2017;6;M.ENG 2;false;;false;;Comptant;true;0;
Rolf;Scranny;25/06/1995;1995;92 Myrtle Street;rolfscranny@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2013;2018;5;M.ENG 2;false;;false;;Comptant;true;0;
Thoma;Leopold;15/04/2000;2000;8 Knutson Terrace;thomaleopold@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;;Comptant;true;0;
Tess;Muncey;22/08/1990;1990;71 Loftsgordon Pass;tessmuncey@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2006;2009;3;B.ENG 3;false;;false;;Comptant;true;0;
Camile;Tolliday;29/12/1984;1984;28 Hazelcrest Drive;camiletolliday@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2002;2004;2;B.ENG 1;false;;false;;Comptant;true;0;
Dav;Squibbs;10/11/1984;1984;9 Esker Parkway;davsquibbs@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2000;2001;1;B.ENG 1;false;;false;;Comptant;true;0;
Rich;Murdoch;16/05/1995;1995;48 Fieldstone Way;richmurdoch@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2011;2015;4;M.ENG 1;false;;false;;Echelonnement;true;0;
Mano;Excell;06/04/1994;1994;7202 Rusk Street;manoexcell@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;false;Intelligence Artificielle;Comptant;false;4323;false
Orly;Giacobilio;06/02/1998;1998;4 Stang Circle;orlygiacobilio@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2014;2017;3;B.ENG 3;false;;false;;Comptant;true;0;
