id,first_name,last_name,campus,cursus,gender,region,entry_level,exit_level,entry_date,exit-date
9db9624d-1142-4994-aa1c-818e6ff90728,Waring,Pickton,Caen,B.Eng1,homme,UK,3,3,2019-10-24,2021-03-07
03c73294-6500-4490-b0bf-4c250394a695,Bonny,Kenson,Paris,M.Eng2,femme,UK,1,3,2019-12-07,2022-09-02
f8aa14db-7b2e-433c-a193-7ba5c3307765,Leonanie,Bonallack,Distanciel,B.Eng1,femme,France,3,5,2017-08-17,2020-05-13
2d1ea53b-b315-4ff5-ae49-ddf7f0a64e19,Alexa,Mauro,Distanciel,M.Eng2,femme,UK,4,5,2019-02-27,2021-03-18
7a93a1c6-074f-456c-88cd-c7ed4cd266c5,Chrisse,Jamieson,Lyon,B.Eng2,femme,UK,1,2,2021-06-12,2023-07-02
797f0044-5d7b-4286-8c5d-9b0622d0c4d9,Danette,Tidbold,Lyon,B.Eng2,homme,UK,3,3,2020-04-10,2021-08-23
260d8597-f836-43e1-b216-89182b457ce9,Park,Adamov,Paris,M.Eng1,homme,France,2,4,2020-06-26,2023-03-23
df51eb2f-931e-4bd3-a1a3-a09098993faa,Beniamino,Bellingham,Paris,M.Eng1,femme,UK,3,4,2021-09-14,2023-10-04
c02b00a0-78d5-4722-a0d2-d2da21cb6e9f,Felix,Kennifick,Distanciel,M.Eng1,homme,UK,2,4,2019-08-07,2022-05-03
0ab06385-6d81-4f7e-ac7e-3272b0a56b56,Justine,Baskerfield,Distanciel,B.Eng2,femme,France,1,2,2019-08-26,2021-09-14
31650880-34b5-4a5d-ba23-21f4f3468a72,Shanon,Gonnin,Lyon,B.Eng1,femme,France,4,4,2021-08-03,2022-12-16
2ad6ab6b-61d2-4989-846e-813509f1d1b9,Gun,Lafaye,Distanciel,B.Eng3,femme,UK,4,5,2020-10-18,2022-11-07
1fcd7590-8bda-4d79-8b9c-26be5c72cf99,Tobit,Liffe,Lille,M.Eng2,femme,UK,4,4,2017-05-16,2018-09-28
c88b352d-1e79-4134-a0ef-de1b2f99a1d8,Kenneth,McCray,Distanciel,M.Eng2,homme,France,4,5,2020-02-17,2022-03-08
2d23eb3f-85ad-4616-a83f-744c3609925c,Elysia,Geck,Tours,B.Eng3,homme,UK,1,2,2021-04-16,2023-05-06
7ba8dcd8-43da-429c-a1c2-b2ac6a1ae079,Freeman,Chaster,Lille,B.Eng3,homme,France,4,5,2017-07-07,2019-07-27
707440f6-c120-4fa1-b290-278e06c8d110,Jania,Sanderson,Distanciel,B.Eng1,homme,France,1,4,2021-10-28,2025-03-31
a03efc7f-4e93-465e-b198-cebc7f0661e1,Ody,Bucham,Lille,B.Eng1,femme,France,4,4,2017-09-23,2019-02-05
6ef85bd9-3392-49d5-8161-e89219ba6b93,West,Somerville,Caen,M.Eng1,femme,UK,2,4,2019-09-13,2022-06-09
fc934b31-7138-4d2e-85d2-a2129aeae049,Kira,Sheers,Paris,B.Eng3,femme,France,3,4,2019-02-01,2021-02-20
2a0724ed-567d-42f2-a8f3-d500078c9d6b,Geoffrey,Dreinan,Caen,M.Eng1,homme,UK,4,5,2021-02-19,2023-03-11
7da82f67-aea3-49ea-9d55-52cc2aa8c2a4,Jarrid,Balint,Paris,B.Eng2,femme,UK,2,2,2019-05-25,2020-10-06
0d9309f9-6a2f-437a-b28a-6c7cdf5f43bb,Cecilius,Andrei,Tours,B.Eng2,homme,France,4,5,2019-04-10,2021-04-29
a2e7ceb4-df90-45f3-b73e-60dac61791fd,Kale,Egalton,Tours,B.Eng2,femme,France,1,5,2019-08-19,2023-09-27
870d998c-f85d-4511-8926-a8bb38461e5c,Karrie,Dankersley,Tours,B.Eng3,homme,UK,4,5,2021-12-14,2024-01-03
15999336-2c96-4f54-834a-12aa98ed4ff6,Rafi,Groneway,Lille,M.Eng1,femme,France,4,4,2018-06-22,2019-11-04
0d0f0781-dda1-4469-b648-4c0f21557ad1,Baxy,Linguard,Lyon,M.Eng2,homme,France,2,3,2018-09-03,2020-09-22
4981ad67-b995-4abc-b75b-2f0139db1d13,Dewey,Whittle,Lyon,B.Eng2,homme,France,3,5,2019-05-15,2022-02-08
d0e7bd8e-207b-4e39-9fb7-bd98b2d380b2,Glenine,Kilford,Lyon,B.Eng2,femme,UK,1,2,2022-03-10,2024-03-29
85460dc1-e590-4f6c-80c0-9b4d225f2020,Kurtis,Stodd,Paris,B.Eng1,femme,UK,3,3,2017-07-20,2018-12-02
8bc303fa-f556-4daf-84da-84b311f2d335,Meade,Manis,Paris,M.Eng2,homme,France,4,4,2020-10-17,2022-03-01
372407f5-9579-4729-9dca-11b72954a6c1,Bessy,Stedson,Lyon,B.Eng3,homme,France,3,3,2018-01-02,2019-05-17
3c99402f-2b81-4da8-bdc2-ca04ec03b121,Hervey,Thon,Rennes,B.Eng3,homme,UK,4,5,2021-12-12,2024-01-01
2ec52c2e-36e3-4577-933e-e5ff33a6b316,Waylan,Stevenson,Distanciel,B.Eng1,homme,France,4,4,2017-09-05,2019-01-18
9d512975-8da6-422a-9861-4945f6f2c5bd,Eloisa,Vella,Paris,B.Eng3,femme,France,1,4,2018-02-11,2021-07-15
722f4cc2-a126-40d0-8831-f2c022197053,Roderich,Colborn,Caen,M.Eng2,femme,France,2,4,2017-10-24,2020-07-20
eccd9917-9dfa-4c05-b37a-19e28a5f9b60,Karlie,Gauvin,Lille,B.Eng2,femme,UK,4,4,2019-08-02,2020-12-14
ac5c40ef-cb4c-4bcc-ba3a-0cf6598f3745,Camila,Greystock,Rennes,B.Eng1,femme,UK,4,4,2022-09-21,2024-02-03
de249bb5-b2c6-44d5-9943-abc45ee92049,Brynna,Babst,Distanciel,B.Eng3,homme,UK,4,5,2022-04-15,2024-05-04
9a722075-76ca-4963-ac93-43617fc164b3,Rickie,Matteotti,Rennes,M.Eng1,homme,UK,1,2,2018-02-03,2020-02-23
e16f9cf7-c664-436e-ad9c-12a3772b27e3,Kylila,Bastone,Paris,B.Eng2,femme,France,3,4,2017-09-13,2019-10-03
3c1b9b24-3a21-4a63-b9da-a99434d3bccf,Eleanor,Caitlin,Lille,B.Eng2,femme,UK,3,4,2022-10-23,2024-11-11
abff260c-e2ac-4267-abb2-c8593d99c7de,Carla,Pummell,Tours,M.Eng1,homme,UK,4,4,2018-09-22,2020-02-04
b015d7b7-2a19-4bb0-bdb0-c0bb14fc1299,Odetta,Hutchison,Caen,M.Eng1,femme,UK,2,5,2018-10-15,2022-03-18
a55a35de-3d39-4802-a412-125b2738a588,Jenn,Eliet,Paris,B.Eng3,homme,France,3,4,2017-09-25,2019-10-15
990967ed-a147-4810-90e1-ccda07fb3f31,Wald,Cheltnam,Caen,B.Eng3,homme,UK,1,5,2020-12-12,2025-01-20
1f97019d-1b0d-4ef5-a877-afd33da609a4,Mikaela,Burnage,Rennes,M.Eng2,femme,France,2,3,2019-03-17,2021-04-05
f1ae3cc1-f09e-440b-9820-d8b28e30640b,Jessalyn,Thatcham,Lyon,B.Eng3,homme,France,1,4,2019-02-23,2022-07-27
732eb879-509e-442c-8879-dcdd37f6f65d,Trev,Duval,Lille,M.Eng1,femme,France,2,3,2017-09-15,2019-10-05
938f40b8-6ef8-4099-a266-7532e80404c2,Margaret,Zelake,Caen,M.Eng1,homme,UK,1,4,2020-03-13,2023-08-15
5593dc7a-e2ce-4442-ba99-2b55a3ecfaf5,Dell,Scole,Rennes,B.Eng1,homme,UK,2,3,2020-12-21,2023-01-10
38d4241f-91ec-49c7-aa27-415eb602a781,Cathryn,Esterbrook,Caen,B.Eng3,homme,France,3,5,2019-08-28,2022-05-24
91d7c03b-2ef0-4938-9be0-1ad249694d87,Vera,Bawme,Caen,B.Eng1,femme,UK,3,5,2022-12-27,2025-09-22
7516693c-edc0-4338-9a6e-5769e972b3c8,Hill,Hartman,Paris,M.Eng1,femme,UK,4,5,2017-05-27,2019-06-16
849cfff5-6abc-482c-a8a3-905136bef82b,Cristobal,Barbary,Caen,B.Eng3,homme,France,2,4,2019-05-03,2022-01-27
77b9cb51-6c65-4a0a-8fa3-1e97e34e46c4,Sabina,McNelis,Rennes,M.Eng2,femme,UK,4,4,2022-01-31,2023-06-15
cea718c8-e5b7-4b94-9b4d-7c119d265085,Lowrance,Strachan,Distanciel,B.Eng3,femme,UK,3,5,2021-07-29,2024-04-24
d5f2eda9-4e28-4aaf-89c0-b85d1465d9e2,Cart,Kasting,Rennes,B.Eng3,femme,UK,3,4,2017-10-23,2019-11-12
8721d903-f6af-48db-bb99-b201f9d5f408,Letty,Kendrew,Paris,B.Eng1,homme,UK,1,5,2021-11-30,2026-01-08
adc3cf35-6be7-4dcf-ad12-74d677580b89,Clarance,Fillingham,Caen,M.Eng2,homme,UK,4,5,2020-06-01,2022-06-21
4ae29546-6796-4bb7-9ba7-f459d99c1d36,Dionis,McManus,Lille,M.Eng2,femme,France,1,2,2021-03-17,2023-04-06
7163aa19-3f6a-4158-a133-10476147277c,Carol-jean,Pigford,Rennes,M.Eng1,homme,UK,2,2,2022-05-12,2023-09-24
cc05f5f0-b252-4b07-b282-f0108124ba3c,Vickie,Leys,Lille,B.Eng3,homme,France,4,5,2018-04-06,2020-04-25
fe141027-7c25-4378-ae73-8d6f9550730c,Jessalin,Gaymer,Caen,B.Eng2,homme,UK,1,4,2017-11-12,2021-04-15
72e1435a-a615-4976-b007-717e273e422c,Daune,Blowers,Paris,M.Eng1,homme,UK,4,5,2017-05-16,2019-06-05
04312c86-5303-48fe-8848-650895b88d41,Kali,Siemantel,Lille,B.Eng2,femme,France,1,4,2022-12-11,2026-05-14
422d0edd-32b9-44f4-b110-a38ab3eddf74,Marcela,Clements,Lille,B.Eng3,homme,UK,2,4,2018-10-06,2021-07-02
4774c8ea-acf0-4567-a907-6c7c7c8253a2,Gunilla,Faustian,Rennes,M.Eng1,femme,UK,4,5,2017-06-10,2019-06-30
3649a802-d6d8-4572-94b3-f08fb4f5a843,Chaim,Greig,Lille,M.Eng1,homme,France,1,4,2017-02-23,2020-07-27
3fcc99e8-85b4-46be-9fa5-bf7a884068dd,Freemon,O' Concannon,Distanciel,M.Eng1,homme,France,4,4,2021-12-09,2023-04-23
d8d6e3d6-525b-4c62-828b-8c31d9aec159,Orbadiah,Kemwall,Caen,B.Eng3,femme,UK,2,3,2020-04-05,2022-04-25
4899c828-3c2d-48a6-9a59-3cfd0aad9ac0,Godard,Rundle,Tours,M.Eng2,homme,France,1,2,2021-03-17,2023-04-06
719672bd-1e47-40c4-b0eb-da240d357d01,Lisha,Lambswood,Lille,B.Eng1,femme,France,2,4,2022-10-19,2025-07-15
b8375409-fec9-4427-a3ce-f609080d1cfd,Suzann,Aynold,Rennes,B.Eng2,femme,France,1,1,2021-01-15,2022-05-30
7b6a0f1e-f5b6-4dc7-a5bd-7b1b4433e5cb,Zena,Hindenburg,Rennes,M.Eng2,femme,France,1,1,2018-01-01,2019-05-16
26ceee72-4822-4394-a23d-417e73909cfc,Nert,Brimilcome,Tours,B.Eng2,femme,France,1,4,2019-06-22,2022-11-23
680019d9-6f4b-4333-82c3-341bc164e8f7,Brigitte,Rye,Lyon,B.Eng2,homme,France,3,3,2017-04-09,2018-08-22
fa5580a3-e78b-4f22-994f-44af1dfa66c3,Jessamine,Edmundson,Caen,B.Eng3,homme,UK,4,5,2020-06-23,2022-07-13
d0839670-27bb-43f1-bc85-79e5f6689420,Alice,Destouche,Paris,B.Eng2,homme,UK,1,4,2021-05-14,2024-10-15
926e20a1-9e17-4582-9440-689a950e5cf5,Sapphira,Giovanetti,Tours,B.Eng3,homme,UK,2,5,2019-12-12,2023-05-15
eb3a0e23-61b3-4209-bd00-0f00e9a30a85,Margie,Housby,Lyon,B.Eng3,femme,UK,3,3,2021-04-17,2022-08-30
c35d40f6-2f64-4767-b07b-d7334e041314,Renelle,Cargill,Paris,B.Eng1,femme,France,2,5,2020-12-08,2024-05-11
1da476c0-1066-4331-909e-45798a20a00c,Karoly,Tomas,Caen,B.Eng2,femme,France,3,4,2018-11-27,2020-12-16
baba43cb-f41e-479c-88ad-5341924933a2,Frasier,Badrick,Paris,M.Eng2,homme,France,2,4,2022-07-08,2025-04-03
2ad8fb9c-9539-48b4-8536-5e5c66d76d54,Allis,Helkin,Paris,M.Eng2,femme,UK,2,5,2019-07-01,2022-12-02
843a1f5c-4b53-44d1-b8b2-af609963163a,Pat,MacLice,Lyon,M.Eng1,homme,UK,3,3,2017-08-07,2018-12-20
b5b8409c-b234-406a-aeba-8508fd0495b1,Wilone,Hamby,Rennes,M.Eng1,femme,France,2,4,2018-02-09,2020-11-05
bc01b3f8-3121-4f14-a051-758936ed7bf3,Gertrud,Izard,Rennes,M.Eng2,homme,UK,4,5,2017-06-30,2019-07-20
25c671fe-06d8-4a78-9039-7fc892f10257,Averill,Shernock,Distanciel,M.Eng2,femme,France,1,3,2022-12-14,2025-09-09
cb0f1273-7816-4ad9-b54f-617dbcaea791,Cherri,Geikie,Tours,M.Eng2,femme,UK,2,3,2019-08-11,2021-08-30
7fb45fc3-c3b8-400f-a661-774705952e42,Allissa,Breffit,Rennes,B.Eng3,femme,UK,2,5,2020-05-17,2023-10-19
cc2b73f7-5b89-4f65-ad8f-559f6be28956,Russ,Doale,Paris,B.Eng3,femme,France,3,5,2018-08-24,2021-05-20
691a1f93-d7c5-4049-9e74-2f858639f8d7,Osgood,Painswick,Caen,M.Eng1,homme,UK,2,3,2021-03-22,2023-04-11
e7de99c3-37d1-48c4-a7e9-95fa39c3f4cd,Brok,Glyne,Distanciel,B.Eng2,homme,France,3,3,2021-10-23,2023-03-07
c1a0c357-e65b-4d14-bdef-37ebda0474f1,Elia,Conkey,Rennes,B.Eng3,homme,UK,1,4,2018-04-24,2021-09-25
4aa717f5-0e01-4888-8bd9-e0ab57bd1ebd,Minnie,Amoore,Paris,B.Eng3,femme,France,2,2,2021-11-25,2023-04-09
19a778ad-1008-4a1e-9545-0df60c914742,Rainer,Yurtsev,Tours,B.Eng2,femme,UK,1,2,2020-05-25,2022-06-14
3519ce88-a46d-452a-86cc-e1e599061fa7,Haleigh,Leyson,Caen,B.Eng3,homme,France,2,2,2019-12-17,2021-04-30
e107caed-4c90-43a8-b2a9-f010fa34cb9f,Paloma,Fielden,Distanciel,M.Eng1,femme,UK,4,4,2017-05-05,2018-09-17
9e2dbd25-c159-4aab-bedc-14218dba5f59,Mufinella,Beaney,Lille,B.Eng1,homme,France,1,4,2021-07-14,2024-12-15
1755d282-d554-4f43-9ba3-621df2bbc21f,Elmo,Critoph,Lyon,B.Eng1,homme,France,3,3,2022-09-24,2024-02-06
15d5a8b2-a5d5-488f-8e79-aa3f53427661,Myrah,Cobb,Caen,B.Eng1,homme,UK,1,2,2020-08-27,2022-09-16
